Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,83.94222615,0.318261367,2.198294859
0.1,-0.064345455,0.000349906,2312.300191,0.253212062,2.228933109
0.2,0.174411011,0.000679058,7813.033384,0.202569648,2.28802119
0.3,0.282433955,0.001017161,10641.51108,0.191655335,2.320847904
0.4,0.322175698,0.00135994,12479.81924,0.186853037,2.354768833
0.5,0.253666755,0.001710131,13863.40953,0.182923885,2.402914659
0.592,0.311546217,0.002024028,14287.58122,0.180741022,2.434647143
0.7,0.276527162,0.002396502,15929.28608,0.164587839,2.483887194
0.8,0.62270196,0.002715323,16896.59468,0.156729533,2.516713927
0.9,0.629136145,0.003057408,18379.74887,0.146251792,2.567048206
1,0.436139261,0.003413148,19059.76744,0.14232264,2.598780669
1.1,0.555403968,0.003747507,19775.07414,0.13883006,2.639266947
1.2,0.434851773,0.004098287,21423.93185,0.134464335,2.79683511
1.3,0.653207492,0.00442586,22576.56948,0.130971754,2.895315242
1.4,0.527659111,0.004776982,23557.01749,0.13009861,3.046318063
1.5,0.739769598,0.005104983,24404.86943,0.128352319,3.143703973
1.6,0.444350912,0.005467737,25622.60809,0.126169457,3.289235654
1.7,0.761797643,0.005788525,26237.73352,0.126169456,3.392092698
1.8,0.771978967,0.006130353,27466.96706,0.124423166,3.543095534
1.9,0.537763553,0.006488916,28053.36048,0.124859739,3.645952516
2,0.733220089,0.006818057,28537.61606,0.125732884,3.742244194
2.1,0.869138747,0.007151276,29857.09821,0.123986594,3.864797246
2.2,0.810622522,0.007497808,33672.02762,0.121803731,4.20838339
2.3,0.942377692,0.007831311,35580.3676,0.122676876,4.423945438
2.4,0.937154112,0.008174194,37644.53499,0.123113449,4.652638141
2.5,0.763725621,0.008528594,40568.82881,0.123550021,4.969962907
2.6,1.028296054,0.008853003,41968.65191,0.124859738,5.171300079
2.7,1.235410354,0.009181346,43725.36135,0.127479173,5.473305783
2.8,1.323448901,0.009517843,44336.70674,0.13053518,5.672454472
2.9,1.143358831,0.0098727,45087.19397,0.135337478,5.971177448
3,1.234728169,0.010208969,45567.8444,0.138393486,6.169231905
3.1,1.000512757,0.010567531,45272.01381,0.144505502,6.399018793
3.2,1.239269564,0.010893708,46220.10718,0.154110096,6.986616828
3.3,1.269019282,0.011234196,46795.89469,0.159348966,7.331297252
3.4,1.1272333,0.01158643,46979.82266,0.168953562,7.844488
3.5,0.686508888,0.011959133,46516.99113,0.177248441,8.18150872
3.6,0.967733273,0.012282402,45959.92049,0.190345615,8.704547591
3.7,1.01830043,0.012621464,45459.63531,0.199513638,9.035003109
3.8,1.064704099,0.012960812,45034.9891,0.208681661,9.364364358
3.9,1.058647821,0.013303752,44864.12126,0.220905691,9.878649403
4,0.999298898,0.013650341,44779.01248,0.229200569,10.22661243
4.1,1.243884589,0.013976118,45016.95761,0.237058873,10.6260041
4.2,1.026323128,0.014333541,45750.7475,0.246663469,11.203754
4.3,1.217616174,0.014662967,46339.92515,0.259324071,11.88654952
4.4,1.097480329,0.015013719,46810.43786,0.267182377,12.33955795
4.5,0.931546117,0.015367606,47281.71867,0.279842981,13.01359957
4.6,0.730638606,0.015723888,47315.04929,0.28988415,13.48411552
4.7,0.745399767,0.016065403,47069.0559,0.30560076,14.14064964
4.8,0.767655207,0.016406404,46734.73161,0.31782479,14.598035
4.9,0.951453976,0.016736344,45508.22572,0.34052656,15.22283674
5,0.822991154,0.017087665,44691.24709,0.356243171,15.63317043
5.1,0.83608692,0.017429293,43415.55944,0.378071797,16.11134609
5.2,0.998235552,0.017760716,42101.00267,0.403393002,16.68143659
5.3,0.978023415,0.018104625,40272.70884,0.43962852,17.39705873
5.4,0.801264134,0.018459253,38669.21402,0.469752025,17.85334977
5.5,0.782717392,0.018803048,36687.88184,0.512536132,18.47924565
5.6,0.535178817,0.019162524,35435.26228,0.543532783,18.90708674
5.7,0.729802655,0.019491722,33757.29207,0.588936322,19.4859312
5.8,0.739567631,0.019833579,32551.62471,0.623425551,19.87438044
5.9,0.760157675,0.020174694,30956.10813,0.673194817,20.39851351
6,0.706637635,0.020520884,29848.60515,0.710303482,20.74866491
6.1,0.928740493,0.020848201,28743.35606,0.75046815,21.10100515
6.2,0.589605184,0.021213948,27726.83314,0.793688834,21.50915009
6.3,-0.011829867,0.021597655,26610.29028,0.846077545,21.99389078
6.4,-0.031209307,0.021941508,25755.8437,0.8849325,22.26963492
6.5,0.306638518,0.022260899,24745.48854,0.931209181,22.52896629
6.6,-0.4455148,0.022654927,23633.05324,0.984471042,22.7696947
6.7,0.493540684,0.022933151,21865.61883,1.073968391,23.0563821
6.8,0.690662615,0.023262179,20831.50513,1.132032532,23.20191386
6.9,0.570526769,0.02361293,19873.54827,1.191406397,23.33869178
