Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,-169.7053574,0.429984409,2.180133596
0.1,0.203080805,0.000363674,1553.13029,0.316280328,2.230251633
0.2,0.381233596,0.000729234,3589.657946,0.267487775,2.258579228
0.29,0.33666281,0.001073736,6436.70163,0.231329003,2.286906796
0.4,0.302960996,0.001491682,10553.65395,0.200398006,2.328308631
0.5,0.781081166,0.001833086,12566.09642,0.188635521,2.354457216
0.6,0.452364507,0.002235515,14616.03184,0.173387842,2.393679974
0.7,0.647967148,0.002598287,15130.39656,0.169031366,2.418739005
0.8,0.428102832,0.002992482,15755.20937,0.162496646,2.449245598
0.9,0.563047297,0.003359842,17103.39675,0.154654986,2.5571083
1,0.427938241,0.003747627,17814.07041,0.15160545,2.62356913
1.1,0.485605852,0.004120832,18666.77865,0.14986286,2.722715647
1.2,0.606424441,0.00448926,19211.8334,0.148991565,2.788086988
1.3,0.441401763,0.004879308,19957.39237,0.148991564,2.887233475
1.4,0.615400123,0.005243714,20316.45741,0.149862861,2.952604825
1.5,0.732064043,0.005612456,20797.33881,0.151605454,3.046303742
1.6,0.762310836,0.005987734,21250.63099,0.151605454,3.111675072
1.7,0.791726695,0.006363075,22053.78135,0.150734159,3.210821588
1.8,0.787905197,0.006740929,23031.97562,0.150734158,3.347011849
1.9,0.74419887,0.007121801,23966.57688,0.151169807,3.491918281
2,0.969715139,0.007482309,25668.91843,0.149862865,3.70982274
2.1,1.152853779,0.007846023,27361.48406,0.145942036,3.857997781
2.2,1.030208726,0.008232864,30199.4626,0.139407317,4.08134979
2.3,1.084552605,0.008606319,32037.63596,0.135922135,4.230614331
2.4,0.618731838,0.009019116,35163.05464,0.129823061,4.453966269
2.5,0.945622045,0.009371957,37525.7926,0.125466585,4.60432038
2.6,0.810512985,0.009759741,39902.29783,0.123288345,4.826582863
2.7,0.900587022,0.010130494,40592.45446,0.124595289,4.972578847
2.8,0.910060467,0.010507343,41537.40153,0.125902233,5.144723342
2.9,0.774120473,0.01089519,44431.89756,0.128516119,5.608859721
3,1.011269818,0.011254818,45730.60078,0.131130008,5.881240313
3.1,0.978365632,0.011634872,45431.52071,0.141149909,6.280005404
3.2,1.026062039,0.01200883,44871.86501,0.148991571,6.542580246
3.3,1.083729654,0.012382033,43991.15691,0.161189712,6.933718695
3.4,1.218674127,0.012749391,43519.82202,0.169031375,7.193024985
3.5,1.327859649,0.013118697,42609.18245,0.182100813,7.595058722
3.6,1.306173071,0.013497902,42403.20232,0.189071179,7.853275453
3.7,1.345144673,0.013872518,42151.50763,0.199091081,8.238966307
3.8,1.421092837,0.014244338,41807.16015,0.207368392,8.531503015
3.9,1.169237549,0.014640951,41483.6182,0.22130912,9.070271624
4,1.307921227,0.015008027,41083.76791,0.234378559,9.552929954
4.1,1.368081645,0.015381041,40761.5674,0.247012349,10.03231976
4.2,1.153618386,0.015774826,40393.2076,0.25833919,10.43653235
4.3,1.336341565,0.01613857,39746.12334,0.276636404,11.04557532
4.4,1.43015481,0.016509038,39394.79249,0.288834547,11.43998237
4.5,1.34240898,0.016893239,39332.66083,0.298854447,11.81150938
4.6,1.637723717,0.017248467,38965.14974,0.317151664,12.40638864
4.7,1.50386105,0.017636155,38736.26427,0.329349802,12.78990038
4.8,1.519566502,0.018012531,38648.62296,0.341983592,13.22461968
4.9,1.551890633,0.01838765,38898.46959,0.355053029,13.78899223
5,1.471623208,0.018771284,38967.36309,0.370954175,14.39476643
5.1,1.453675833,0.019150205,39116.93906,0.385548379,14.96894464
5.2,1.530454932,0.019521962,39270.63804,0.396875227,15.43090206
5.3,1.311421533,0.019916092,39224.35401,0.416043728,16.09768948
5.4,1.515333531,0.020278233,39043.10055,0.430420114,16.5422146
5.5,1.373576992,0.020666519,38670.59198,0.446539082,16.97693393
5.6,1.448694223,0.021038401,38044.34216,0.471371014,17.60340913
5.7,1.574498428,0.021406449,37600.89636,0.488796934,18.02178583
5.8,1.414461341,0.021796117,37234.29121,0.50709414,18.49028012
5.9,1.602585595,0.022159452,36932.12267,0.526262655,19.01216153
6,1.504037623,0.022544469,36624.70062,0.549351989,19.65933746
6.1,1.244288458,0.022941679,36328.15174,0.566777895,20.10822049
6.2,1.154880761,0.023326005,35880.33138,0.591609821,20.73033742
